latency,radioTechnology,reachableVia,altitude,accurancy,horizontalAccuracy,wifiEnabled,RAWData_mean,RAWData_max,RAWData_min,RAWData_median,RAWData_kurt,RAWData_stdDev,signalStrength,verticalAccurancies_mean,verticalAccurancies_max,verticalAccurancies_min,verticalAccurancies_median,verticalAccurancies_kurt,verticalAccurancies_stdDev,horizontaAccurancies_mean,horizontaAccurancies_max,horizontaAccurancies_min,horizontaAccurancies_median,horizontaAccurancies_kurt,horizontaAccurancies_stdDev,accurancyTimeStamps_mean,accurancyTimeStamps_max,accurancyTimeStamps_min,accurancyTimeStamps_median,accurancyTimeStamps_kurt,accurancyTimeStamps_stdDev,accurancyTimeStamps_count,floor,speed,activityMotion,activityConfidence,userIndoorMark
55.961013,LTE,Wi-Fi,474.184231,6,10,true,90.07566879999999,106.205312,0,99.95456,23.92392557456594,0,-102,9.224780486941164,128,3,6,46.55493871509273,17.42988737739104,76.86566369751097,414.422203352627,10,50,6.656749453421584,105.2525352759104,57226624.38990732,1487892232.885025,-8.450601100921631,0.003430604934692382,25.99999999999999,291799674.205708,26,0,0,1,0,false
109.121025,LTE,Wi-Fi,4.123496,10,65,true,83.1991816,97.957072,0,95.19311999999999,26.78980645387268,0,-102,10,10,10,10,nan,0,65,65,65,65,nan,0,0.6894839893687855,4.091242074966431,0,0.006613016128540039,2.620232311806827,1.472375732218262,11,0,-1,1,2,true
496.452987,HSPDA,Wi-Fi,57.597046,12,10,true,10.0149328,18.324096,0,11.122088,5.36042400827391,0,-77,7.703703703703703,12,6,6,-1.006617642393517,2.127020574469491,36.48148148148148,100,10,30,-0.9674822245762158,27.13268022481995,1.215524966900165,6.562078952789307,0,0.9959040880203247,8.684598158342448,1.551856598132854,26,0,0,1,0,true
476.308048,HSPDA,Wi-Fi,68.434692,12,10,true,11.2126696,21.010304,0,12.728384,5.121823279123276,0,-77,8.991486330326012,15.66053576258149,6,10,-0.5023024567254337,2.834577387679048,70.17259012185001,413.3655219719784,10,50,7.287006778606684,95.68981984084706,5722706.768503685,148790375,-5.556732892990112,-0.000690579414367676,25.99999999999982,29180193.28306477,26,0,0,1,2,true
2353.792012,LTE,Wi-Fi,215.970136,3,8,true,0.01109505,0.045824,0,0.004912,0.0127225941639481,0,-102,4.335552057045231,43.95613479614258,3,3,38.85633553636885,6.13804637723285,24.88407174788853,252.7159755091116,6,8,11.82083601222077,58.70799102032655,0.9170057070314679,2.520318984985352,0,0.9978495527145386,5.092494544185633,0.4766800256800074,28,0,0,1,0,true
47.702014,LTE,Wi-Fi,22.815063,12,10,true,48.43251600000001,112.391696,0,48.372672,21.32571057222022,0,-111,9.1875,12,6,8,-1.561514670010027,2.320143210262899,8.125,10,5,10,-1.824367816091954,2.459346884189824,0.8841977119444963,1.044076204299927,0,0.9957200288760839,5.435228846071227,0.312139849480891,28,0,0,1,2,true
394.351959,LTE,Wi-Fi,58.793517,3,12,true,2.7089472,3.6084,0,2.844352,0.7446954717645963,0,-107,8.006577091722408,16.59249752511941,3,3,-1.709385506025203,5.979122904752309,130.5095542803296,474.2930250770061,8,40,0.06990709063724054,190.293579683664,0.8576481061823228,3.493028879165649,0,0.9840681552886963,3.872806257535064,0.8966553126573475,17,0,0,1,2,true
148.154974,LTE,Wi-Fi,103.080505,6,10,true,79.5939576,120.13056,0,83.638232,29.34452816859882,0,-102,8.380952380952381,10,6,8,-0.6449032561209576,1.359271513575947,41.29437344698071,155.8361450882889,10,10,1.175499661836805,52.55627692672512,0.7955010890960693,1.432047843933105,0,0.9959299564361572,-0.3908472000776317,0.454200267403448,20,0,0,0,2,true
583.214998,HSPDA,Wi-Fi,35.564278,3,10,true,19.5994336,29.526592,0,22.63488,8.224626664976801,0,-96,7.377898624808069,21.34374285093218,3,3,0.4236729982442049,6.855614672089595,146.0477430521219,786.5514736210841,10,10,2.004787062116788,286.1315201419529,0.8316620389620463,4.3753821849823,0,0.9701623916625977,11.92176290371075,0.8769661925211284,24,0,0,1,2,false
117.868006,LTE,Wi-Fi,84.305229,10,154.916644,true,14.8454184,21.511296,0,15.599456,5.096390224528631,0,-103,10,10,10,10,nan,0,77.84523484307422,154.9166439015196,65,65,7,33.9852969269962,1.502299984296163,8.946224927902222,0,0.01541447639465332,5.999569127002232,3.646800951188166,6,0,-1,1,0,true
